rt,group
1.0267571373529418,adhd
2.0671470359528703,adhd
1.6728256695755235,adhd
1.0355145564045434,adhd
1.0310874212659202,adhd
1.4740691910460928,adhd
1.1935358391458843,adhd
0.5471211294242342,adhd
0.7691221838401068,adhd
1.7204483002311688,adhd
0.963790155577136,adhd
1.1223460120756168,adhd
0.8700213013378066,adhd
1.2259506348296503,adhd
1.9910229422268972,adhd
1.469564197410759,adhd
1.244136444064667,adhd
1.8705715521694704,adhd
1.871617123648236,adhd
1.3690900249011344,adhd
0.9643581233465812,adhd
1.2127533893457512,control
1.0719269529137514,control
1.312401835908314,control
1.130727490117442,control
1.2752989860563808,control
1.284147033515083,control
1.3309734267072764,control
0.9708092464110664,control
1.289810653453141,control
1.0048975762067212,control
0.6743809465108553,control
1.0909444817276779,control
1.1514478237412753,control
1.09243918402875,control
1.5307962259129722,control
0.7294499039650267,control
1.3792294519247292,control
0.9936623481651947,control
1.317143619770193,control
0.9351295122787444,control
1.708628476402242,control
1.0023936020731725,control
1.536594614459498,control
0.9036871960157437,control
1.1018644478646715,control
0.981160055678721,control
1.3970297776168183,control
1.1094511399197047,control
0.8623230746344596,control
1.212404259953718,control
